name,tree_size,migration_matrix,gbm_seconds,machina_seconds
sim9,100,true_migration_prob_matrix.csv,23.96,18.88
sim4,100,true_migration_prob_matrix.csv,23.92,18.90
sim16,200,true_migration_prob_matrix.csv,23.88,19.06
sim13,200,true_migration_prob_matrix.csv,24.00,18.84
sim17,200,true_migration_prob_matrix.csv,23.91,18.92
sim5,100,true_migration_prob_matrix.csv,23.95,18.99
sim1,100,true_migration_prob_matrix.csv,23.98,18.97
sim10,200,true_migration_prob_matrix.csv,24.00,18.93
sim2,100,true_migration_prob_matrix.csv,24.04,18.89
sim19,200,true_migration_prob_matrix.csv,23.92,19.00
sim18,200,true_migration_prob_matrix.csv,23.91,19.04
sim20,300,true_migration_prob_matrix.csv,22.38,17.61
sim14,200,true_migration_prob_matrix.csv,23.96,18.94
sim8,100,true_migration_prob_matrix.csv,24.00,18.97
sim3,100,true_migration_prob_matrix.csv,23.94,19.03
sim12,200,true_migration_prob_matrix.csv,23.97,19.04
sim0,100,true_migration_prob_matrix.csv,24.03,18.97
sim7,100,true_migration_prob_matrix.csv,23.97,18.93
sim11,200,true_migration_prob_matrix.csv,23.13,19.75
sim15,200,true_migration_prob_matrix.csv,24.10,18.94
sim23,300,true_migration_prob_matrix.csv,8.10,7.59
sim26,300,true_migration_prob_matrix.csv,8.13,7.42
sim28,300,true_migration_prob_matrix.csv,8.09,7.67
sim21,300,true_migration_prob_matrix.csv,8.18,7.57
sim25,300,true_migration_prob_matrix.csv,8.19,7.58
sim22,300,true_migration_prob_matrix.csv,8.21,7.73
sim24,300,true_migration_prob_matrix.csv,7.99,8.70
sim31,400,true_migration_prob_matrix.csv,8.30,9.03
sim36,400,true_migration_prob_matrix.csv,7.94,9.12
sim35,400,true_migration_prob_matrix.csv,8.39,8.90
sim34,400,true_migration_prob_matrix.csv,7.90,8.92
sim33,400,true_migration_prob_matrix.csv,8.41,8.87
sim38,400,true_migration_prob_matrix.csv,7.92,9.48
sim37,400,true_migration_prob_matrix.csv,7.65,10.05
sim30,400,true_migration_prob_matrix.csv,8.31,10.73
sim40,500,true_migration_prob_matrix.csv,8.82,10.99
sim27,300,true_migration_prob_matrix.csv,8.43,15.42
sim42,500,true_migration_prob_matrix.csv,9.80,13.92
sim39,400,true_migration_prob_matrix.csv,8.48,18.61
sim45,500,true_migration_prob_matrix.csv,9.14,8.84
sim46,500,true_migration_prob_matrix.csv,8.90,9.19
sim41,500,true_migration_prob_matrix.csv,9.14,29.47
sim49,500,true_migration_prob_matrix.csv,8.27,10.60
sim53,600,true_migration_prob_matrix.csv,9.02,11.00
sim50,600,true_migration_prob_matrix.csv,9.22,11.09
sim55,600,true_migration_prob_matrix.csv,9.15,11.40
sim52,600,true_migration_prob_matrix.csv,9.20,11.39
sim58,600,true_migration_prob_matrix.csv,9.27,12.10
sim47,500,true_migration_prob_matrix.csv,8.92,15.94
sim54,600,true_migration_prob_matrix.csv,9.27,16.26
sim59,600,true_migration_prob_matrix.csv,8.66,15.21
sim61,700,true_migration_prob_matrix.csv,8.46,15.05
sim44,500,true_migration_prob_matrix.csv,7.81,31.58
sim48,500,true_migration_prob_matrix.csv,7.47,33.47
sim64,700,true_migration_prob_matrix.csv,9.46,10.20
sim65,700,true_migration_prob_matrix.csv,11.65,11.95
sim66,700,true_migration_prob_matrix.csv,7.96,13.99
sim60,700,true_migration_prob_matrix.csv,8.22,34.45
sim56,600,true_migration_prob_matrix.csv,12.68,53.61
sim62,700,true_migration_prob_matrix.csv,7.15,37.57
sim51,600,true_migration_prob_matrix.csv,6.37,76.37
sim43,500,true_migration_prob_matrix.csv,5.94,96.18
sim63,700,true_migration_prob_matrix.csv,6.62,280.17
sim57,600,true_migration_prob_matrix.csv,6.07,1819.73
sim68,700,true_migration_prob_matrix.csv,6.25,1962.21
sim69,700,true_migration_prob_matrix.csv,6.18,2588.77
